x,y,speed,pos,angle
1227.55,1799.68,1.05,11.82,117.31
1261.37,1747.1,1.07,77.47,161.57
1288.67,1697.09,1.17,59.15,56.1
1339.51,1734.48,1.02,4.75,132.59
1399.47,1709.71,1.12,38.19,110.08
1456.96,1705.56,1.08,11.8,46.19
1511.47,1702.47,1.16,22.68,111.39
1524.1,1655.6,1.03,1.35,200.6
1576.34,1629.48,1.14,28.81,107.42
1624.21,1602.91,1.09,1.55,197.45
1596.15,1623.94,1.1,8.25,287.42
1533.71,1643.53,1.02,73.69,287.42
1523.94,1663.72,0.08,0.15,109.29
1512.58,1674.07,1.15,13.62,109.5
1523.55,1659.16,1.09,3.28,108.2
1502.33,1599.41,1.18,4.32,200.52
1459.78,1584.85,1.13,33.86,294.5
1403.66,1617.49,0.99,99.17,304.65
1356.81,1602.91,1.15,31.41,225.18
1303.27,1567.34,1.11,20.49,242.25
1244.17,1537.42,1.16,22.16,244.47
1184.08,1508.73,1.11,32.59,244.48
1124.56,1478.12,1.19,99.5,242.36
1065.32,1449.01,1.06,165.55,245.51
1005.67,1421.63,1.17,6.18,247.88
942.51,1400.35,1.17,62.95,251.2
879.05,1383.99,1.05,128.65,257.59
813.11,1375.09,1.15,2.59,263.09
787.69,1414.78,1.1,65.04,353.3
780.04,1479.56,1.02,4.78,352.31
784.25,1433.13,1.14,46.4,173.3
795.88,1370.97,1.01,5.99,84.48
859.99,1379.59,1.06,148.19,82.96
924.34,1392.81,1.16,82.58,71.2
986.63,1414.02,1.17,16.79,71.2
1047.48,1439.48,1.13,185.73,65.51
1106.95,1467.91,1.17,119.82,63.84
1165.48,1498.1,1.1,53.99,62.36
1225.01,1526.85,1.15,44.01,64.47
1284.48,1556.01,1.1,42.4,62.25
1342.89,1586.82,1.06,13.73,45.39
1389.59,1633.18,1.07,121.7,47.82
1436.92,1678.08,1.08,56.45,46.16
1484.49,1722.87,1.06,3.34,46.27
1532.19,1769.51,1.02,70.7,45.95
1579.76,1815.52,1.12,4.51,45.95
1627.53,1860.66,1.05,38.76,46.7
1661.57,1905.55,0.99,2.76,352.82
1693.31,1917.06,1.1,117.62,53.22
1754.77,1939.59,1.21,51.72,76.93
1821.14,1948.99,1.18,128.55,85.77
1886.75,1953.81,1.12,62.77,85.84
1952.96,1957.28,0.98,6.22,88.09
2019.15,1958.63,1.15,43.03,93.24
2067.09,1976.41,1.06,93.04,1.68
2069.03,2042.62,1.04,26.8,1.68
2051.46,2084.64,0.99,4.9,268.18
1987.96,2074.34,1.15,200.04,266.11
1921.8,2066.81,1.22,133.45,261.8
1856.91,2057.46,0.99,67.9,261.8
1791.67,2048.06,1.02,1.98,261.84
1787.1,2046.11,1.02,2.35,81.76
1852.59,2055.55,1.2,63.35,81.8
1917.03,2064.83,0.98,128.45,81.8
1983.11,2072.73,1.09,195.08,86.11
2047.17,2083.22,1.01,0.57,88.18
2067.88,2046.96,0.99,22.5,181.68
2065.95,1981.22,1.17,88.27,181.68
2022.38,1959.73,1.13,39.87,273.24
1955.76,1958.66,1.2,3.37,268.09
1889.74,1955.31,1.22,59.68,265.84
1823.44,1950.44,1.08,126.14,265.77
1768.65,1935.22,1.04,100.76,262.25
1706.21,1915.99,1.16,34.96,245.24
