x,y,speed,pos,angle
1522.50,1968.95,1.26,40.14,149.46
1521.46,1906.64,1.20,1.44,135.95
1473.23,1852.94,1.18,139.99,223.88
1417.41,1799.63,1.30,62.79,227.97
1359.85,1747.20,1.26,20.79,224.96
1394.97,1711.36,1.36,42.98,110.08
1461.71,1710.12,1.31,18.39,46.19
1527.98,1696.00,1.23,40.41,111.39
1517.85,1637.43,1.26,0.15,21.22
1587.36,1625.36,1.29,17.06,107.42
1663.84,1605.66,1.31,34.48,103.25
1719.74,1629.26,1.28,166.71,83.72
1796.45,1637.70,1.16,89.53,83.72
1873.26,1646.37,1.43,12.22,83.29
1908.45,1587.14,1.23,23.93,171.64
1923.67,1535.71,1.36,1.94,353.48
1913.20,1610.50,1.44,38.02,335.47
1983.38,1623.91,1.33,62.72,83.28
2061.42,1633.11,1.27,141.30,83.28
2104.46,1643.21,1.39,1.86,173.06
2033.75,1631.14,1.28,113.59,263.28
1955.53,1621.92,1.31,34.83,263.28
1907.71,1587.72,1.42,23.24,171.64
1856.71,1560.57,1.35,123.83,264.79
1779.98,1553.58,1.43,46.78,264.79
1714.74,1534.29,1.20,7.61,163.66
1726.05,1458.14,1.22,58.21,173.66
1734.45,1380.40,1.23,18.80,173.90
1730.46,1312.99,1.34,94.31,174.95
1737.17,1236.50,1.40,17.52,174.99
1744.26,1159.48,1.42,100.46,174.61
1751.60,1081.68,1.28,22.32,174.61
1734.84,1048.09,1.37,6.21,174.08
1676.27,1024.85,1.27,236.15,263.72
1598.65,1016.30,1.20,158.06,263.72
1521.19,1007.78,1.33,80.14,263.72
1443.71,999.24,1.19,2.18,263.72
1428.59,960.66,0.00,0.02,262.45
1421.43,928.90,1.40,11.91,172.98
1430.41,850.73,1.19,44.67,173.72
1435.81,775.50,1.22,41.93,173.31
1395.72,752.26,1.25,6.30,350.43
1347.91,785.84,1.27,101.24,264.46
1355.99,786.62,1.22,109.35,84.46
1398.13,743.59,1.36,1.90,133.15
1468.98,747.78,1.16,148.65,83.78
1546.17,756.34,1.18,70.98,83.66
1623.95,764.62,1.30,2.16,83.63
1702.24,773.67,1.27,35.48,83.66
1779.55,782.02,1.27,2.66,83.54
1774.84,855.21,1.40,71.48,353.50
1829.74,886.49,1.37,74.02,83.99
1907.55,894.03,1.38,5.25,84.03
1979.76,897.68,1.18,3.02,345.20
1924.56,896.46,0.00,8.85,353.91
1847.93,888.40,1.40,55.72,263.99
1772.37,873.90,1.25,8.99,173.50
1780.87,796.64,1.31,12.61,173.50
1790.94,727.15,1.31,1.00,264.27
1775.44,771.52,1.34,2.45,326.69
1767.94,847.95,1.37,24.26,353.49
1756.82,924.54,1.22,54.65,354.21
1741.03,989.94,0.09,0.02,354.56
1737.15,1044.35,1.25,0.58,354.08
1754.77,1068.75,1.21,9.15,354.51
1747.52,1145.36,1.17,86.09,354.61
1740.39,1221.74,1.18,2.54,354.99
1733.63,1298.83,1.20,79.92,354.99
1737.53,1367.02,1.37,5.39,5.34
1729.36,1445.66,1.39,45.44,353.66
1720.23,1522.51,1.26,1.02,348.19
1764.23,1550.85,1.18,30.84,84.79
1843.06,1558.04,1.23,110.01,84.79
1910.84,1575.25,1.28,36.14,351.64
1941.77,1619.01,1.32,20.83,83.28
2019.81,1628.21,1.23,99.41,83.28
2096.45,1638.88,1.41,3.01,46.12
2088.14,1715.67,1.32,1.94,353.64
2080.58,1791.47,1.31,154.69,353.93
2072.34,1868.91,1.24,76.90,353.93
2064.72,1948.13,1.28,2.67,313.56
1986.28,1951.27,1.33,27.03,268.95
1908.08,1948.15,1.39,86.88,266.84
1829.91,1942.58,1.19,8.52,265.77
1759.85,1942.09,1.42,46.24,256.93
1686.99,1913.94,1.39,124.52,233.22
1660.55,1907.61,1.16,7.15,315.46
1649.41,1984.23,1.44,25.27,353.93
1619.87,2010.37,1.27,26.41,225.74
1570.64,2009.13,1.27,31.27,330.70
1530.27,2074.54,1.37,30.17,330.71
1492.10,2142.59,1.38,108.19,330.71
1435.98,2166.98,1.19,185.91,241.51
1386.02,2193.53,1.24,15.52,332.36
1320.12,2197.42,1.42,34.59,255.08
1244.52,2177.32,1.35,41.78,255.15
1170.02,2157.57,1.28,71.35,254.83
1100.03,2133.61,1.33,22.11,140.62
1114.94,2060.92,1.23,45.91,254.41
1104.07,2106.05,1.27,6.56,18.17
1143.21,2150.45,1.34,43.60,75.13
1205.75,2141.00,1.28,21.07,158.49
1234.58,2067.82,1.18,47.32,158.50
1263.08,1995.45,1.23,125.09,158.50
1291.30,1923.82,1.20,62.57,158.50
1319.93,1851.12,1.31,49.24,158.50
1348.55,1779.44,1.42,7.91,158.48
1358.58,1724.65,1.44,81.72,112.54
1431.87,1697.87,1.32,3.69,110.08
1401.65,1652.96,1.24,27.37,226.42
1362.80,1597.14,1.34,7.67,225.19
1364.27,1522.91,1.42,8.34,172.39
1373.52,1444.89,1.40,134.17,173.41
1381.85,1367.26,1.30,56.08,174.92
1387.90,1307.50,0.00,0.03,174.72
1457.60,1305.81,1.42,66.21,84.76
1536.91,1313.08,1.36,145.85,84.76
1602.84,1319.71,1.39,8.49,83.50
1681.35,1328.30,1.39,78.53,83.50
1735.83,1352.33,1.39,1.32,146.78
1730.70,1427.88,1.42,27.62,353.66
1721.97,1505.14,1.24,24.19,353.66
