x,y,speed,pos,angle
1050.08,2299.82,0.00,13.51,75.17
1132.21,2315.23,1.38,10.49,105.81
1163.29,2238.01,1.50,95.32,159.25
1194.13,2162.14,1.52,4.21,90.46
1226.38,2086.88,1.45,26.58,158.50
1257.71,2007.33,1.56,112.07,158.50
1288.51,1929.17,1.29,56.57,158.50
1319.55,1850.36,1.32,49.81,158.50
1350.38,1772.09,1.30,6.01,158.48
1372.22,1719.67,1.55,67.20,110.08
1445.00,1695.35,1.33,1.81,168.63
1384.25,1636.13,1.29,3.15,201.16
1358.17,1568.56,1.35,54.38,172.39
1368.94,1484.55,1.41,174.08,173.41
1378.64,1400.11,1.56,89.10,173.71
1386.53,1314.59,1.27,3.23,174.92
1458.17,1305.87,1.45,66.78,84.76
1542.88,1313.63,1.38,151.84,84.76
1599.05,1318.84,1.42,3.86,73.94
1682.70,1328.45,1.45,79.88,83.50
1702.15,1380.51,1.55,17.13,354.93
1694.02,1465.20,1.54,53.75,354.40
1683.81,1543.83,1.53,56.48,357.40
1678.13,1628.28,1.45,6.70,340.32
1683.56,1695.82,1.54,50.81,353.95
1674.64,1780.05,1.35,101.06,353.95
1665.64,1864.89,1.34,15.75,353.95
1664.75,1901.75,1.43,4.66,280.79
1649.75,1981.07,1.49,28.45,353.93
1616.58,2007.17,1.56,31.00,225.76
1565.31,2018.63,1.40,42.16,330.70
1521.92,2089.43,1.56,47.25,330.71
1480.78,2162.77,1.45,131.33,330.71
1410.21,2157.20,1.36,2.79,242.35
1360.53,2208.83,1.26,22.16,255.12
1278.36,2186.81,1.44,1.08,255.15
1196.45,2163.12,1.47,6.63,278.53
1113.40,2143.19,1.49,12.92,255.11
1031.16,2121.49,1.51,7.81,255.25
949.03,2099.86,1.55,63.83,255.25
866.80,2078.21,1.35,11.82,255.25
783.99,2055.92,1.45,44.13,254.86
719.87,2031.96,1.53,2.87,174.14
728.48,1947.87,1.55,22.92,174.17
737.02,1864.22,1.50,4.99,174.17
746.03,1785.91,1.28,16.19,173.07
760.78,1703.84,1.46,32.02,175.33
767.68,1619.34,1.51,116.80,175.33
774.67,1533.87,1.51,202.56,175.33
783.02,1449.01,1.37,30.49,173.30
793.05,1364.59,1.57,4.25,173.42
802.76,1279.83,1.44,75.13,173.46
812.17,1196.71,1.41,7.47,173.77
821.43,1111.84,1.40,92.85,173.77
830.61,1027.70,1.50,177.49,173.77
811.64,966.01,1.46,5.82,263.98
770.71,920.91,1.39,2.36,264.47
711.39,891.05,1.49,3.63,263.59
667.24,886.74,1.28,47.99,83.59
728.25,916.22,1.42,2.68,85.01
808.00,928.83,1.56,31.73,84.48
858.35,927.32,0.00,0.00,75.25
895.25,933.57,1.56,133.24,81.99
978.57,945.29,1.49,49.10,81.99
1005.95,949.63,1.50,26.45,354.44
1021.99,945.96,1.30,0.50,84.47
959.02,943.84,1.29,68.67,261.99
879.29,938.78,1.42,3.96,341.24
861.49,997.48,1.36,23.61,353.51
851.85,1082.22,1.29,108.90,353.51
842.24,1166.77,1.46,194.00,353.51
834.16,1243.34,0.00,4.22,353.10
825.91,1310.42,1.35,45.53,353.52
816.80,1394.65,1.27,17.05,353.56
807.27,1479.12,1.36,102.06,353.56
797.74,1562.82,1.26,29.00,353.50
788.31,1646.08,1.53,112.80,354.09
779.55,1730.67,1.41,197.85,354.09
770.76,1815.33,1.56,1.78,353.60
771.95,1891.09,1.51,302.90,78.47
854.66,1907.96,1.43,218.49,78.47
938.47,1925.06,1.27,132.96,78.47
1023.50,1942.41,1.31,46.17,78.47
1107.55,1959.46,1.55,15.55,78.60
1191.16,1976.49,1.36,72.15,78.46
1267.82,1982.65,1.54,4.01,158.08
1298.64,1903.43,1.33,84.23,158.50
1329.43,1825.27,1.36,76.77,158.50
1349.72,1749.74,1.27,9.64,224.94
1399.35,1709.75,1.33,38.31,110.08
1470.78,1718.83,1.32,30.96,46.19
1547.09,1689.08,1.57,7.18,108.23
1628.05,1660.06,1.34,4.12,109.92
1681.04,1605.80,1.52,13.18,177.44
1685.02,1521.12,1.33,2.13,160.84
1694.02,1438.69,1.46,16.83,171.75
1706.36,1353.64,1.33,44.01,163.65
1646.83,1334.02,1.38,66.86,263.49
1561.95,1325.06,1.50,31.72,264.59
1476.54,1317.20,1.34,70.14,264.76
1393.04,1309.54,1.31,153.99,264.76
1396.68,1228.26,1.42,23.39,173.55
1404.11,1144.89,1.29,122.37,173.81
1413.13,1061.76,1.32,38.66,173.81
1394.55,1010.12,1.53,8.58,174.08
1405.60,1019.41,1.44,6.28,91.07
1401.16,1100.80,1.51,70.10,353.81
1394.24,1184.69,1.50,0.48,353.59
1384.33,1269.11,1.49,6.71,353.55
1378.23,1328.39,1.26,175.89,354.93
1370.05,1413.53,1.41,90.37,353.42
1360.35,1497.61,1.35,5.72,353.42
1348.17,1583.51,1.33,6.02,259.44
1389.79,1640.79,1.42,10.39,46.41
1439.91,1698.88,1.30,1.30,264.37
1361.88,1724.13,1.52,78.44,290.08
1347.94,1782.75,1.36,4.60,338.58
1316.82,1860.78,1.56,39.11,338.50
1285.62,1939.98,1.32,45.45,338.50
1255.39,2016.73,1.40,102.48,338.50
1224.09,2096.20,1.35,17.07,338.50
1183.81,2161.92,1.38,85.78,255.26
1103.10,2140.45,1.32,2.26,255.11
1028.53,2130.06,1.36,48.51,255.25
946.02,2108.33,1.38,9.37,255.25
870.52,2086.47,1.33,9.30,75.24
953.74,2108.38,1.32,1.89,75.25
1030.19,2119.25,1.54,6.30,75.25
1110.81,2140.51,1.39,9.73,75.11
1191.84,2161.89,1.45,2.18,93.39
1225.81,2088.34,1.33,25.01,158.50
1256.77,2009.73,1.49,109.49,158.50
1287.57,1931.54,1.57,54.02,158.50
1318.97,1851.82,1.57,48.24,158.50
1349.88,1773.34,1.26,4.67,158.48
1370.57,1720.27,1.54,68.95,110.08
1449.66,1698.63,1.49,1.73,46.53
1520.46,1698.95,1.52,32.33,111.39
1601.68,1669.71,1.51,34.78,110.16
1677.04,1633.10,1.30,2.56,163.07
1683.50,1550.52,1.41,49.78,177.40
1690.10,1467.58,1.53,51.41,174.24
1701.25,1383.45,1.40,14.18,174.93
1722.76,1305.55,1.30,24.69,174.99
1730.32,1219.20,1.40,111.37,174.99
1738.15,1135.67,1.43,69.42,174.61
1738.90,1056.72,1.43,8.84,268.21
1775.98,1026.08,1.52,1.15,83.93
1753.46,1026.12,1.56,3.24,264.44
1675.82,1024.80,1.28,235.70,263.72
1591.76,1015.55,1.45,151.13,263.72
1507.94,1006.32,1.57,66.80,263.72
1427.57,991.76,1.45,9.62,265.88
1348.37,983.61,1.49,47.84,264.64
1262.68,975.57,1.48,133.91,264.64
1178.50,966.91,1.47,33.08,264.46
1095.49,958.86,1.34,116.47,264.46
1010.06,950.37,1.37,17.22,261.99
927.60,938.77,1.27,100.49,261.99
864.41,929.58,0.00,1.68,255.25
784.77,927.23,1.44,55.01,264.48
705.68,913.94,1.55,128.83,263.75
667.39,909.11,1.40,90.25,83.75
750.91,918.37,1.27,25.44,84.56
795.68,961.13,1.46,11.34,354.22
833.65,1005.72,1.47,199.68,353.77
824.44,1090.18,1.51,114.71,353.77
815.20,1174.83,1.36,29.56,353.77
805.90,1258.05,1.54,3.73,353.46
796.36,1341.30,1.29,13.34,353.46
851.12,1373.34,1.26,29.77,82.96
935.06,1391.06,1.27,115.48,71.20
1013.14,1418.60,1.37,4.28,65.51
1090.78,1454.27,1.35,84.80,63.85
1166.03,1492.62,1.35,169.24,62.35
1229.14,1499.51,1.51,40.26,86.19
1314.13,1505.16,1.48,14.17,86.20
1393.08,1509.96,1.40,11.51,83.69
