x,y,speed,pos,angle
2157.21,1069.96,0.00,1.99,174.46
2094.38,1051.41,1.34,102.84,263.75
2018.40,1043.09,1.23,26.40,263.75
1952.78,1045.84,1.24,0.57,264.15
1884.52,1049.26,1.14,51.47,264.09
1810.13,1041.56,1.40,126.26,264.09
1750.35,1025.69,1.25,1.17,298.81
1739.66,1055.44,1.23,7.61,88.42
1752.46,1093.08,1.16,33.58,354.61
1745.42,1167.70,1.18,108.53,354.61
1738.57,1242.44,1.27,23.31,354.99
1731.92,1318.28,1.17,99.44,354.95
1736.15,1382.61,1.39,20.80,353.90
1727.91,1458.76,1.21,58.62,353.66
1716.81,1534.04,1.26,6.79,343.66
1705.94,1609.33,1.24,4.19,354.69
1695.49,1674.39,1.17,30.70,353.92
1687.72,1749.02,1.21,1.66,353.84
1679.54,1824.75,1.24,72.48,353.95
1676.78,1891.70,1.32,10.09,6.59
1739.74,1927.56,1.20,70.77,76.95
1808.72,1945.55,1.25,1.89,352.28
1879.28,1953.91,1.22,70.21,85.84
1955.29,1958.00,1.39,3.86,88.09
2031.39,1958.58,1.35,30.82,93.24
2067.16,2000.88,1.39,68.58,1.68
2075.22,2067.50,1.23,0.93,100.71
2097.91,2138.35,1.14,1.21,19.53
2122.94,2210.22,1.38,44.94,19.18
2183.68,2222.73,1.32,2.02,85.93
2207.57,2295.56,1.40,73.79,17.35
2196.12,2256.75,1.24,33.32,197.35
2142.61,2227.03,1.21,34.71,276.66
2109.50,2171.56,1.35,4.02,199.18
2084.53,2099.95,1.30,12.32,198.27
2068.23,2036.97,1.38,32.48,181.68
2065.91,1960.90,1.22,4.59,182.38
1992.58,1959.07,1.24,69.62,268.95
1918.03,1956.39,1.18,31.38,266.84
1842.83,1951.23,1.12,106.76,265.77
1776.56,1935.65,1.15,108.70,262.25
1703.82,1914.18,1.37,32.02,245.24
1663.72,1882.93,1.15,1.02,263.54
1608.91,1832.57,1.26,23.27,226.70
1553.71,1779.64,1.34,85.87,225.95
1498.93,1726.64,1.37,9.65,225.95
1536.11,1686.90,1.13,3.00,199.66
1496.30,1643.58,1.16,0.41,203.04
1497.06,1584.74,1.23,15.49,198.08
1550.77,1549.65,1.32,36.64,105.01
1615.91,1532.53,1.18,11.75,90.46
1687.64,1534.18,1.23,5.13,177.82
1694.02,1458.70,1.32,60.19,174.40
1701.36,1382.22,1.24,15.39,174.93
1731.95,1337.95,0.18,0.17,286.84
1805.66,1342.13,1.21,100.64,84.18
1880.62,1350.44,1.31,25.23,83.47
1930.46,1392.71,1.21,123.35,2.38
1923.49,1467.13,1.32,48.50,353.49
1917.33,1537.97,1.37,2.11,271.25
1905.36,1607.65,1.28,3.14,335.42
1853.70,1643.42,1.21,31.99,263.29
1778.35,1635.07,1.13,107.81,263.72
1704.81,1628.91,1.24,4.57,341.73
1685.28,1685.70,1.13,61.06,353.95
1668.66,1748.95,1.17,1.97,265.16
1620.94,1756.97,1.22,48.86,304.38
1597.47,1801.97,1.32,0.21,45.22
1547.43,1774.46,1.19,77.76,225.95
1492.33,1721.15,1.27,1.09,225.95
1439.33,1670.64,1.25,62.63,226.16
1384.88,1619.08,1.19,38.80,225.19
1360.02,1554.71,1.21,40.41,172.39
1369.51,1479.61,1.31,169.11,173.41
1378.07,1405.34,1.22,94.37,173.71
1385.14,1330.19,1.14,18.88,174.92
1391.67,1266.86,1.28,30.19,173.55
1400.15,1191.92,1.16,6.04,173.55
1406.59,1116.07,1.13,93.42,173.81
1415.10,1040.04,1.26,16.85,172.39
1395.66,1004.02,1.19,0.30,175.79
1411.70,941.74,1.30,24.17,84.32
1427.60,876.31,1.24,18.94,173.72
1432.75,801.55,1.13,15.70,173.31
1417.69,745.20,1.21,18.62,263.50
1342.33,736.97,1.32,48.26,263.88
1267.04,728.99,1.26,3.97,264.39
1191.69,721.56,1.39,50.98,264.38
1135.75,740.50,1.32,20.05,354.19
1100.95,794.78,1.21,3.90,44.58
1133.52,765.23,1.13,4.86,145.81
1166.20,719.05,1.14,76.59,84.38
1241.32,726.45,1.14,1.11,84.38
1317.14,734.27,1.37,73.60,83.88
1392.69,742.52,1.15,7.02,83.74
1435.63,777.03,1.15,40.39,353.31
1430.41,850.74,1.29,44.66,353.72
1421.81,925.84,1.15,14.99,352.98
1398.98,984.99,1.36,0.89,353.52
1410.94,1020.10,0.00,0.00,82.55
1410.51,1085.84,1.26,62.92,353.81
1402.40,1161.55,1.23,139.14,359.71
1395.61,1237.78,1.33,0.84,353.55
1387.35,1312.51,1.32,1.08,354.92
1380.54,1388.72,1.39,77.57,353.71
1371.97,1463.90,1.39,153.22,353.41
1390.75,1519.90,1.31,101.16,68.27
1461.11,1547.95,1.33,25.42,68.27
1520.50,1570.61,1.28,23.56,107.68
1593.00,1550.58,1.29,98.77,100.27
1618.34,1600.19,1.23,0.93,247.94
1597.23,1551.11,1.34,102.84,280.27
1524.08,1570.81,1.36,26.90,287.68
1463.35,1549.53,1.13,22.76,248.27
1391.55,1521.59,1.30,99.80,248.27
1371.12,1465.68,1.30,155.09,173.41
1379.74,1390.16,1.15,79.09,173.71
1386.51,1314.80,1.40,3.43,174.92
1394.75,1239.61,1.31,2.75,173.55
1401.74,1164.00,1.32,141.60,179.71
1409.60,1088.38,1.32,65.54,173.81
1417.13,1022.36,0.00,0.03,262.55
1401.20,1021.34,1.21,9.73,271.61
1400.90,961.76,1.23,1.22,173.01
1397.23,1001.41,1.30,3.05,353.11
1406.56,1051.12,1.18,120.02,353.81
1398.24,1127.78,1.19,42.99,353.81
1392.25,1202.32,1.19,1.89,353.34
1344.51,1241.15,1.26,9.51,279.00
1292.88,1275.61,1.16,3.72,354.62
1228.61,1283.27,1.19,39.52,263.72
1157.07,1278.63,1.24,125.69,263.73
1081.83,1270.36,1.40,50.00,263.73
1008.95,1261.71,1.40,173.97,263.73
934.15,1253.50,1.24,98.72,263.73
859.75,1245.32,1.29,23.87,263.73
815.83,1245.03,1.32,17.49,351.38
799.04,1312.29,1.26,42.46,353.46
790.22,1387.79,1.24,92.14,353.30
781.27,1463.96,1.39,15.43,353.30
774.19,1539.67,1.20,196.73,355.33
768.06,1614.75,1.26,121.41,355.33
761.87,1690.45,1.26,45.45,355.33
757.26,1728.40,1.29,7.11,167.70
764.28,1653.16,1.25,82.81,175.33
770.50,1577.00,1.39,159.22,175.33
776.59,1502.42,1.13,234.06,175.33
784.94,1427.24,1.25,52.34,173.30
793.73,1352.94,1.23,1.47,173.46
802.28,1278.42,1.26,76.48,173.46
811.47,1203.14,1.25,1.02,173.77
819.70,1127.68,1.23,76.92,173.77
827.93,1052.28,1.28,152.77,173.77
836.11,977.25,1.30,228.24,173.77
842.12,933.27,1.34,2.25,163.19
856.43,896.99,1.22,7.71,89.72
890.27,846.83,1.19,159.15,162.12
913.41,775.10,1.14,83.78,162.12
936.79,702.76,1.32,7.76,161.86
1005.86,700.13,1.37,131.29,83.78
1081.75,708.63,1.23,55.06,83.59
1157.43,716.90,1.39,85.53,84.38
1233.61,724.41,1.19,8.98,84.38
1308.77,732.09,1.19,82.16,83.88
1384.61,740.22,1.37,5.87,83.88
1440.65,747.70,0.00,0.03,83.30
1485.55,748.32,1.25,132.12,83.66
1561.64,756.77,1.17,55.56,83.66
1637.02,765.14,1.23,40.70,83.67
1712.43,773.51,1.33,25.37,83.66
1787.52,780.78,1.17,0.21,85.06
1862.72,787.60,1.34,119.70,85.09
1938.50,794.12,1.23,43.64,85.09
2011.47,800.92,1.37,35.80,83.64
2086.39,809.27,1.15,71.29,83.63
2161.27,817.26,1.14,5.38,83.90
2231.40,815.73,1.23,11.54,91.23
2305.77,822.71,1.32,70.47,83.46
2341.68,828.12,1.24,106.74,263.46
2267.33,819.41,1.30,31.94,263.68
2197.39,822.80,1.23,3.08,263.86
2122.43,814.59,1.16,34.88,263.63
2047.12,805.82,1.34,4.83,263.64
1981.31,811.94,1.40,82.23,340.65
1972.80,887.77,1.13,5.98,353.77
1906.60,893.93,1.26,6.19,264.03
1831.63,886.04,1.35,72.19,263.99
1761.30,877.87,1.33,3.79,328.46
1753.30,952.84,1.16,26.12,354.21
1739.62,1006.20,1.28,7.19,359.95
1747.19,1056.42,0.14,0.07,84.44
1750.85,1103.31,1.18,43.92,354.61
1743.63,1179.81,1.40,120.76,354.61
1736.80,1255.37,1.39,36.35,354.99
1730.20,1330.68,1.33,111.95,355.01
1734.08,1395.93,1.24,34.15,353.90
1725.86,1471.39,1.35,71.40,353.66
1712.32,1546.02,1.31,5.14,352.95
1704.32,1619.84,1.28,14.86,354.69
1773.80,1635.21,1.26,112.31,83.72
1850.26,1643.66,1.31,35.38,83.29
1888.71,1669.52,1.29,17.69,338.93
1860.88,1739.87,1.29,93.45,338.90
1834.98,1811.79,1.31,170.04,343.98
1872.84,1848.35,1.40,41.08,84.49
1900.72,1844.42,1.14,19.76,264.63
1829.03,1846.77,1.24,3.65,339.70
1820.05,1921.48,1.16,71.62,353.31
1772.61,1943.51,1.17,33.50,262.26
1700.12,1921.64,1.19,109.34,245.25
1661.53,1900.59,1.23,2.42,263.72
1612.28,1847.18,1.23,59.10,226.70
1557.11,1794.50,1.30,35.41,225.95
1502.59,1741.76,1.15,111.27,225.95
1444.98,1696.73,1.31,1.06,269.33
1374.89,1718.69,1.27,64.35,290.08
1312.23,1715.29,1.24,29.31,230.95
1265.72,1727.98,1.22,96.99,341.57
1270.33,1714.16,1.24,111.46,157.10
1325.03,1724.84,1.30,13.31,50.95
1389.88,1712.53,1.19,48.16,110.08
1434.12,1684.75,1.19,72.82,226.42
1382.78,1630.62,1.26,6.51,226.19
1436.18,1585.71,1.25,55.44,117.51
1469.69,1552.74,1.17,15.67,248.27
1467.16,1550.36,1.40,18.91,68.27
1532.89,1555.13,1.33,8.38,109.59
1595.47,1531.35,1.25,9.16,81.52
1670.89,1535.84,1.29,66.74,85.73
1692.00,1479.29,1.19,39.57,174.40
1699.22,1404.22,1.14,53.27,174.40
1716.67,1332.04,1.26,1.89,99.73
1726.74,1260.16,1.37,70.25,174.99
1733.44,1185.64,1.37,19.23,174.61
1740.61,1109.61,1.14,95.60,174.61
1734.83,1054.35,0.00,14.87,174.08
1770.91,1027.12,1.29,1.02,59.67
1737.10,1044.88,0.00,0.04,354.08
1744.14,1085.85,1.34,119.59,354.61
1737.05,1160.99,1.22,44.12,354.61
1730.21,1235.21,1.27,95.40,354.99
1723.62,1310.39,1.35,19.94,355.00
1702.90,1379.30,1.22,18.38,354.93
1695.44,1455.92,1.33,1.43,354.40
1689.03,1531.22,1.15,8.14,357.82
1681.81,1602.86,1.27,2.92,357.35
1638.64,1656.91,1.26,15.15,289.92
1566.45,1683.69,1.16,8.45,288.85
1495.17,1709.54,1.13,4.92,291.39
1437.64,1697.59,0.18,0.07,201.25
1374.64,1719.47,0.86,64.86,290.08
1358.79,1758.00,1.24,3.36,355.39
1330.03,1827.25,1.38,75.15,338.50
1302.45,1898.24,1.30,4.00,338.50
1274.52,1968.16,1.18,15.16,338.50
1247.03,2037.95,1.38,79.67,338.50
1218.87,2109.43,1.26,2.84,338.50
1179.57,2160.80,1.28,81.40,255.26
1106.11,2141.25,1.22,5.37,255.11
1033.15,2122.01,1.29,9.87,255.25
989.54,2108.40,1.32,2.20,75.29
1062.68,2127.80,1.19,39.90,75.25
1136.35,2147.30,1.32,36.15,75.13
1201.69,2149.57,1.40,11.60,158.49
1229.63,2078.64,1.39,35.43,158.50
1258.02,2006.55,1.40,112.91,158.50
1285.01,1938.04,1.18,47.04,158.50
1312.88,1867.28,1.25,31.63,158.50
1340.66,1796.76,1.15,107.41,158.50
1340.28,1733.78,1.25,3.71,132.59
1409.79,1705.94,1.31,27.20,110.08
1420.76,1671.15,1.16,53.76,226.42
1371.32,1617.33,1.32,10.96,225.18
1350.87,1560.45,1.34,20.73,172.39
1360.55,1484.68,1.18,18.59,173.42
1369.26,1409.20,1.24,94.58,173.42
1376.52,1333.22,1.35,170.94,174.93
1382.75,1271.69,1.18,3.97,173.55
1391.23,1196.73,1.15,2.32,173.59
1397.67,1121.10,1.15,49.57,173.81
1405.95,1045.67,1.20,125.35,172.40
1396.59,996.99,1.14,2.15,171.12
1418.72,942.07,1.40,2.34,119.10
1428.63,866.93,1.29,28.38,173.72
1433.84,792.23,1.40,25.09,173.31
1407.66,744.06,1.32,28.72,263.50
1380.54,806.34,1.39,98.20,354.46
1373.17,882.30,1.28,21.88,354.46
1347.15,907.50,1.36,43.86,173.60
1375.84,854.84,1.17,49.47,174.46
1389.23,781.39,1.20,36.04,146.56
