x,y,speed,pos,angle
1623.17,1615.38,0.0,1.38,104.99
1681.8,1574.25,1.45,26.01,177.46
1690.91,1490.32,1.47,28.52,174.4
1699.5,1401.37,1.56,56.12,174.4
1721.54,1319.49,1.54,10.7,175.01
1729.19,1232.17,1.33,98.35,174.99
1737.43,1143.29,1.38,61.77,174.61
1744.13,1056.88,1.56,3.6,268.21
1756.75,1025.15,1.56,0.02,84.44
1832.47,1025.11,1.6,107.39,84.05
1920.01,1034.23,1.59,19.38,84.05
1880.55,1029.06,1.35,11.01,264.49
1924.84,1036.02,1.44,14.39,264.05
1836.64,1026.83,1.42,103.07,264.05
1756.55,1026.35,1.42,0.67,224.87
1741.93,1055.53,1.61,5.84,88.21
1738.92,1141.15,1.61,64.05,354.61
1730.69,1229.72,1.35,100.92,354.99
1722.93,1318.35,1.62,11.95,355.01
1700.88,1400.44,1.59,57.18,354.4
1692.36,1488.7,1.57,30.28,354.4
1648.62,1535.46,1.36,44.52,265.73
1559.53,1529.11,1.57,12.13,262.57
1471.65,1519.38,1.55,9.08,263.34
1385.13,1509.73,1.41,3.59,263.69
1327.22,1538.63,1.31,18.98,354.86
1362.42,1607.58,1.54,24.14,45.18
1426.22,1668.7,1.52,70.67,46.16
1489.57,1729.16,1.5,129.39,45.95
1552.89,1790.42,1.39,41.29,45.95
1617.18,1851.79,1.52,52.38,46.7
1668.77,1907.97,1.35,0.93,140.1
1701.06,1922.07,1.51,108.32,65.25
1786.74,1945.43,1.47,19.31,82.24
1874.0,1953.52,1.46,75.51,85.84
1962.28,1958.52,1.52,99.91,88.95
2050.5,1957.5,1.48,11.7,93.24
2068.05,2031.06,1.55,38.39,1.68
2042.6,2081.18,1.36,256.11,234.08
1956.26,2071.13,1.53,168.18,261.8
1869.18,2058.58,1.55,80.2,261.8
1781.86,2046.0,1.44,1.41,261.77
1725.23,2038.75,1.6,22.26,83.03
1812.77,2049.8,1.59,23.11,81.78
1900.47,2062.44,1.56,111.71,81.8
1989.41,2073.16,1.58,201.41,86.11
2070.52,2086.13,1.54,3.28,183.91
2066.45,1998.27,1.37,71.22,181.68
2015.87,1960.1,1.44,46.39,273.24
1928.07,1957.58,1.39,21.29,266.84
1840.23,1951.68,1.4,109.32,265.77
1762.62,1934.19,1.5,94.67,256.91
1682.43,1900.14,1.33,6.27,233.22
1676.77,1832.66,1.55,80.63,173.95
1686.12,1744.56,1.39,101.44,173.95
1695.36,1657.45,1.55,13.88,173.94
1707.33,1579.63,1.6,33.99,174.06
1721.97,1493.54,1.34,12.7,173.66
1731.97,1404.83,1.55,4.57,173.66
1729.36,1325.58,1.35,106.94,175.01
1737.07,1237.63,1.53,18.65,174.99
1745.13,1150.26,1.62,91.2,174.61
1753.4,1063.0,1.61,3.55,174.51
1739.61,1014.44,1.58,4.06,177.17
1754.17,944.26,1.38,34.75,174.21
1776.07,879.25,1.43,6.86,34.71
1862.99,889.99,1.61,40.58,83.99
1944.86,898.55,1.44,23.45,84.15
1978.19,838.36,1.63,55.53,173.77
2032.14,804.51,1.33,14.86,83.64
2119.03,814.21,1.59,38.29,83.63
2154.28,866.12,1.39,19.81,354.17
2195.55,913.37,1.33,4.04,353.26
2202.62,978.11,1.4,10.8,264.05
2197.21,899.28,1.51,13.19,173.26
2156.57,850.87,1.63,35.21,173.51
2096.34,819.79,1.56,60.47,264.2
2010.15,811.04,1.44,147.11,264.2
