x,y,speed,pos,angle
1494.34,1677.44,1.51,18.08,290.65
1516.17,1636.64,1.53,1.5,200.86
1486.84,1559.29,1.39,5.02,235.77
1408.53,1527.67,1.38,81.78,248.27
1342.41,1509.8,1.28,13.21,267.22
1256.87,1502.64,1.57,12.38,266.19
1190.97,1506.35,1.44,197.69,244.49
1115.49,1467.83,1.34,112.95,243.85
1039.8,1431.76,1.48,29.09,245.51
962.46,1401.74,1.55,144.81,251.2
879.61,1378.87,1.45,58.78,257.58
820.88,1344.89,1.53,80.34,173.89
830.34,1260.14,1.46,0.07,173.49
839.03,1183.67,1.54,211.15,173.51
848.64,1099.21,1.53,126.14,173.51
858.23,1014.77,1.44,41.16,173.51
876.26,950.93,1.26,16.61,252.46
828.53,938.47,1.38,21.66,266.3
833.48,937.5,1.33,26.53,86.3
864.19,973.71,1.43,3.75,353.51
854.57,1058.36,1.48,84.89,353.51
845.01,1142.43,1.51,169.49,353.51
835.34,1227.56,1.38,15.39,353.5
828.25,1289.76,1.27,24.73,353.52
824.19,1370.01,1.55,2.68,82.96
907.69,1383.74,1.38,87.21,77.58
989.86,1409.71,1.36,173.27,71.2
1066.88,1442.69,1.38,58.26,65.51
1143.1,1480.6,1.49,143.35,62.35
1217.85,1517.01,1.49,2.23,119.14
1287.17,1503.37,1.28,41.19,86.2
1366.77,1506.51,1.39,0.68,83.45
1437.88,1539.37,1.55,50.18,68.27
1499.52,1588.13,1.54,11.5,18.08
1532.16,1642.67,1.4,74.91,107.42
1613.13,1617.88,1.57,4.09,102.91
1681.11,1589.84,1.28,10.4,177.46
1688.82,1511.68,1.44,7.12,174.4
1696.98,1427.07,1.56,30.3,174.4
1714.68,1344.19,1.31,56.39,137.45
1726.37,1264.35,1.27,66.05,174.99
1733.89,1180.89,1.36,24.0,174.61
1741.83,1096.71,1.27,108.56,174.61
1735.27,1050.09,1.45,4.27,174.08
1743.08,985.42,1.38,5.79,126.6
1757.55,904.13,1.43,75.04,174.57
1769.88,819.66,1.39,52.58,173.49
1737.39,769.2,1.55,48.21,263.67
1652.76,758.52,0.0,25.79,83.67
1737.39,767.91,1.4,48.07,83.67
1770.41,820.69,1.48,51.62,353.49
1758.24,903.59,1.43,75.64,354.57
1743.61,985.83,1.55,5.97,306.6
1735.72,1051.93,1.57,2.49,354.08
1749.5,1117.65,1.26,58.32,354.61
1741.62,1201.18,1.48,142.22,354.61
1734.2,1285.05,1.57,66.14,354.99
1736.41,1361.86,1.37,0.2,5.34
1729.97,1447.86,1.47,47.59,355.52
1722.78,1529.4,1.48,16.65,266.09
1655.63,1546.33,1.3,4.38,269.51
1622.11,1593.84,1.5,18.63,16.52
1566.87,1633.13,1.49,38.94,287.42
1534.86,1681.84,1.5,8.16,21.31
1470.47,1719.42,1.36,31.15,226.19
1401.26,1709.74,1.26,36.51,290.08
1326.35,1727.56,1.36,10.57,230.95
1257.93,1678.03,1.5,24.17,241.71
1182.47,1639.47,1.34,109.01,243.68
1106.82,1601.84,1.3,2.78,253.63
1046.54,1649.92,1.5,24.56,285.86
996.98,1601.11,1.55,2.47,253.85
995.2,1658.92,1.54,50.12,16.66
967.41,1704.07,1.32,6.94,195.55
955.58,1668.71,1.28,44.17,15.55
999.47,1694.03,1.47,12.7,154.49
983.3,1612.47,1.41,98.03,196.66
1022.53,1633.94,1.43,16.27,15.86
1088.93,1631.29,1.53,1.52,153.43
1149.11,1622.25,1.41,146.57,63.68
1225.11,1659.85,1.38,61.72,63.68
1297.34,1703.21,1.28,48.52,50.95
1364.01,1722.67,1.51,75.94,110.08
1443.18,1697.3,1.39,0.84,110.51
1507.97,1703.15,1.17,19.17,111.39
1582.56,1676.73,1.57,14.41,110.16
1658.72,1639.8,1.27,41.52,109.33
1682.68,1569.0,1.28,31.29,177.46
1691.67,1489.22,1.51,29.69,174.4
1699.86,1404.3,1.32,53.24,174.4
1726.26,1333.04,1.52,4.29,84.98
1737.07,1252.26,1.57,33.23,174.99
1790.11,1222.62,1.47,147.89,83.85
1873.4,1231.6,1.51,64.11,83.85
1942.15,1220.28,1.29,6.63,173.94
1947.88,1172.33,1.37,54.92,353.94
1920.65,1236.7,1.51,16.6,263.85
1837.94,1227.78,1.47,99.78,263.85
1754.11,1218.74,1.39,184.09,263.85
1734.0,1287.28,1.41,68.38,354.99
1706.46,1355.6,1.41,42.19,343.65
1696.27,1440.88,1.31,16.49,354.4
1688.61,1525.44,1.27,13.9,357.82
1681.07,1605.11,1.36,0.63,357.44
1628.51,1659.89,1.46,4.62,289.92
1547.83,1688.84,1.4,7.95,288.23
1471.18,1719.21,1.56,31.52,226.19
1400.12,1709.47,1.33,37.49,290.08
1325.78,1726.27,1.29,11.83,230.95
1258.8,1677.78,1.29,23.52,241.71
1183.29,1639.16,1.26,108.41,243.68
1107.02,1601.24,1.3,2.75,253.63
1079.49,1669.36,1.31,54.95,15.85
1090.48,1623.77,1.27,8.95,154.0
1155.96,1624.93,1.43,139.24,63.68
1232.34,1662.81,1.52,53.95,61.71
1303.92,1707.72,1.48,40.55,50.95
1371.72,1719.17,1.46,67.5,110.08
1443.28,1693.46,1.56,85.46,226.42
1383.32,1634.33,1.49,1.43,164.95
1348.87,1575.43,1.31,5.61,172.39
1359.81,1491.17,1.49,12.05,173.42
1369.55,1406.64,1.35,97.16,173.71
1377.51,1322.09,1.46,182.11,174.93
1329.82,1294.4,1.44,36.67,263.72
1318.68,1291.88,1.44,25.32,83.72
1404.82,1300.98,1.36,13.21,84.76
1489.01,1308.69,1.56,97.75,84.76
1573.43,1316.5,1.27,11.58,84.59
1658.37,1325.68,1.33,55.39,83.5
1743.71,1332.68,1.36,10.74,91.44
1827.03,1339.17,1.3,94.11,84.17
1911.49,1351.78,1.5,1.51,66.96
1973.3,1394.83,1.53,19.76,85.28
2057.93,1401.82,1.33,105.05,85.28
2127.98,1400.08,1.44,7.09,178.16
2102.01,1406.1,1.49,149.54,265.28
2018.28,1399.19,1.38,65.14,265.28
1940.91,1376.8,1.03,0.2,146.46
1896.79,1347.78,1.33,164.19,263.47
1811.99,1338.27,1.57,79.1,264.17
1727.64,1333.16,1.26,5.67,264.98
1642.95,1324.56,1.54,39.95,263.5
1558.79,1316.12,1.41,1.98,264.63
1475.31,1308.08,1.37,84.05,264.76
1390.69,1300.69,1.26,3.37,264.76
1322.17,1292.91,1.52,28.9,263.72
1237.86,1283.64,1.55,48.76,263.72
1156.98,1277.97,1.33,125.53,263.73
1072.66,1268.71,1.57,40.71,263.73
988.25,1259.44,1.4,153.15,263.73
903.29,1250.11,1.33,67.68,263.73
819.35,1240.18,1.28,1.14,263.96
799.0,1312.58,1.31,42.17,353.46
789.05,1397.78,1.29,82.08,353.3
779.25,1480.69,1.52,3.55,353.57
772.18,1564.25,1.39,172.07,355.33
769.78,1585.88,1.46,150.31,175.33
776.65,1501.74,1.43,234.74,175.33
785.97,1418.45,1.37,61.19,173.3
795.93,1333.79,1.29,20.75,173.46
813.31,1257.37,1.3,4.91,171.38
871.55,1245.98,1.56,35.68,83.73
954.81,1255.12,1.26,119.43,83.73
1038.95,1264.37,1.5,6.72,83.73
1123.08,1273.61,1.26,91.35,83.73
1203.71,1279.24,1.5,14.33,83.72
1288.52,1288.57,1.43,8.83,83.72
1373.14,1297.86,1.42,80.1,83.72
1450.19,1305.14,1.29,58.77,84.76
1535.67,1312.97,1.44,144.61,84.76
1620.94,1321.41,1.53,17.72,83.5
1704.52,1330.9,1.31,101.84,83.7
1736.24,1381.72,1.36,19.91,353.9
1727.09,1466.08,1.51,65.99,353.66
