x,y,speed,pos,angle
1132.32,1282.99,0.00,45.01,83.73
1201.05,1278.95,1.32,11.66,83.72
1276.88,1287.65,1.17,2.16,83.65
1318.04,1244.04,1.25,20.79,98.97
1387.95,1225.77,1.35,5.14,173.57
1394.49,1150.41,1.33,20.12,173.81
1402.81,1073.79,1.22,97.11,173.81
1394.19,1013.54,1.40,5.14,174.08
1403.40,944.61,1.32,13.82,172.15
1426.77,883.84,1.37,11.37,173.72
1431.99,808.03,1.25,9.18,173.31
1420.78,745.56,1.15,15.51,263.32
1384.19,794.42,1.29,7.22,327.59
1378.21,830.42,1.26,74.01,174.46
1395.83,755.49,1.38,9.46,170.43
1331.38,735.16,1.39,59.35,263.88
1255.23,727.19,1.26,15.91,264.39
1179.07,719.68,1.17,63.72,264.38
1102.41,711.60,1.27,34.23,263.59
1025.00,702.90,1.26,111.99,263.62
947.59,693.37,1.20,1.68,257.74
918.97,759.95,1.35,67.65,342.12
895.61,832.35,1.24,143.73,342.12
894.84,892.11,1.18,15.38,85.28
878.52,939.06,1.31,4.47,341.24
861.44,992.27,1.27,18.44,353.51
852.59,1070.06,1.18,96.73,353.51
843.97,1145.91,1.33,173.07,353.51
835.25,1222.65,1.41,10.53,353.50
828.53,1281.65,1.21,16.64,353.52
820.16,1357.60,1.36,1.10,353.95
811.73,1433.93,1.16,56.65,353.56
803.05,1510.53,1.15,133.75,353.51
858.41,1532.59,1.30,59.86,88.74
925.27,1544.78,1.37,8.11,13.68
976.58,1594.98,1.23,11.06,59.18
1029.14,1636.10,1.34,52.52,15.86
1087.90,1633.34,1.33,5.25,153.43
1141.36,1618.42,1.35,155.23,63.68
1210.10,1652.43,1.35,78.48,63.68
1276.44,1688.99,1.20,2.60,57.00
1337.41,1735.62,1.30,2.04,42.95
1406.00,1707.32,1.16,31.23,110.08
1469.97,1718.05,1.14,29.84,46.19
1536.06,1699.71,1.20,2.03,111.39
1608.55,1674.00,1.40,13.94,110.16
1676.11,1640.48,1.38,0.67,109.34
1706.16,1600.89,1.19,1.53,173.12
1718.80,1525.63,1.32,4.36,165.63
1728.32,1449.24,1.26,49.11,173.66
1735.47,1388.89,1.15,27.06,353.90
1727.17,1465.37,1.15,65.27,353.66
1714.43,1542.16,1.28,0.77,343.66
1705.09,1618.53,1.25,13.48,354.69
1694.37,1685.01,1.28,41.37,353.95
1686.75,1744.65,1.20,101.46,173.95
1694.90,1667.90,1.31,24.31,173.94
1705.51,1600.92,1.36,1.63,173.12
1718.18,1525.47,1.24,4.36,165.63
1727.73,1448.76,1.39,48.70,173.66
1736.07,1371.31,1.40,9.66,173.90
1731.93,1303.61,1.35,84.84,174.99
1738.56,1227.96,1.19,8.89,174.99
