x,y,speed,pos,angle
1498.96,1590.39,1.28,9.56,200.52
1547.16,1550.62,1.31,40.35,105.01
1613.87,1532.54,1.21,9.71,90.46
1687.64,1534.19,1.35,5.12,177.82
1694.12,1457.7,1.34,61.2,174.4
1701.55,1379.98,1.41,17.6,174.93
1722.38,1309.91,1.23,20.31,175.0
1729.18,1232.3,1.39,98.21,174.99
1736.21,1156.22,1.3,48.78,174.61
1743.4,1080.02,1.17,125.32,174.61
1748.06,1024.43,1.28,0.21,84.23
1737.84,1039.1,1.21,2.78,354.06
1755.56,1060.6,1.37,0.95,354.51
1748.29,1137.19,1.22,77.89,354.61
1742.32,1213.71,1.41,4.26,353.82
1734.39,1290.23,1.27,71.29,354.99
1738.06,1358.95,1.36,4.32,320.46
1730.6,1434.53,1.37,34.25,353.66
1721.95,1511.14,1.26,30.13,353.66
1750.56,1549.61,1.18,17.12,84.79
1827.66,1556.64,1.42,94.54,84.79
1905.37,1563.72,1.25,172.57,84.79
1925.69,1617.12,1.23,4.63,83.28
2000.57,1625.94,1.15,80.03,83.28
2076.73,1634.92,1.19,156.72,83.28
2100.57,1686.52,1.33,3.61,353.61
2149.08,1718.0,1.2,48.76,82.99
2182.44,1728.23,1.17,85.59,201.5
2108.64,1712.39,1.4,7.94,262.99
2105.42,1645.92,1.18,4.43,173.06
2036.35,1630.8,1.37,116.14,263.28
1960.05,1621.81,1.38,39.31,263.28
1895.44,1629.87,1.33,12.18,338.18
1829.44,1640.05,1.22,56.48,263.72
1753.13,1631.65,1.15,133.26,263.72
1680.6,1620.12,1.41,1.15,177.44
1626.21,1609.28,1.27,8.23,197.45
1619.84,1599.32,1.33,0.74,107.53
1570.61,1631.95,1.29,35.01,287.42
1503.81,1641.64,1.43,8.56,293.48
1498.97,1590.43,1.18,9.51,200.52
1446.76,1542.92,1.21,40.61,248.27
1378.71,1513.02,1.21,4.66,177.14
1373.15,1448.07,1.27,137.37,173.41
1381.42,1372.09,1.35,60.93,174.92
1388.47,1295.2,1.35,13.76,173.55
1397.25,1217.57,1.32,12.7,173.55
1403.94,1140.47,1.34,117.99,173.81
1412.33,1063.21,1.14,40.2,173.81
1417.15,1022.37,0.0,0.05,262.55
1397.48,991.32,1.23,7.89,171.12
1420.46,936.69,1.42,4.05,172.35
1429.45,859.51,1.19,35.84,173.72
1434.95,782.76,1.36,34.62,173.31
1397.62,744.03,1.2,2.57,310.54
1379.42,817.89,1.16,86.6,354.46
1380.64,805.31,1.26,99.24,174.46
1409.65,744.29,1.32,26.72,83.5
1473.15,748.24,1.2,144.45,83.66
1551.41,756.92,1.16,65.72,83.66
1627.56,765.38,1.4,50.08,83.67
1703.26,773.78,1.24,34.45,83.66
1773.88,774.96,1.39,4.62,174.53
1786.04,708.54,1.14,2.18,131.63
1775.25,771.81,1.29,2.11,326.69
1706.19,774.11,1.37,31.5,263.66
1629.44,765.59,1.3,48.19,263.67
1551.88,756.98,1.36,65.24,263.66
1473.92,748.32,1.3,143.68,263.66
1413.03,744.67,1.22,23.32,263.5
1336.95,736.4,1.19,53.67,263.88
1260.48,728.35,1.35,10.57,264.39
1183.23,720.73,1.15,59.47,264.38
1134.76,750.16,1.18,10.34,354.19
1126.5,822.02,1.19,94.26,264.12
1131.13,785.95,1.24,134.15,174.21
1146.92,715.87,1.32,96.09,84.38
1223.33,723.39,1.18,19.31,84.38
1300.37,731.19,1.38,90.6,83.88
1377.55,739.46,1.16,12.98,83.88
1438.44,764.01,1.38,53.65,353.4
1432.98,839.08,1.24,56.54,353.72
1424.35,915.61,1.19,25.45,352.98
1401.85,965.79,1.21,5.19,353.22
