x,y,speed,pos,angle
1472.91,2054.56,0.0,17.62,151.63
1511.28,1987.96,1.2,18.06,149.46
1528.74,1922.81,1.26,16.78,225.93
1488.15,1868.45,1.44,161.5,223.88
1432.39,1813.13,1.43,82.94,227.97
1372.84,1759.45,1.38,2.81,227.97
1380.35,1716.7,1.23,58.54,110.08
1439.79,1689.26,1.19,80.03,226.42
1384.16,1633.69,1.21,0.6,164.95
1357.83,1571.15,1.37,57.0,172.39
1368.0,1492.72,1.3,182.3,173.41
1377.08,1414.09,1.19,103.17,173.41
1384.82,1333.81,1.38,22.51,174.92
1420.05,1302.37,1.25,28.5,84.76
1498.59,1309.57,1.44,107.37,84.76
1568.85,1324.43,1.25,24.91,84.59
1649.09,1332.99,1.4,64.73,83.49
1708.94,1352.34,1.21,46.68,317.45
1686.7,1338.57,1.36,26.73,263.49
1608.85,1329.69,1.24,105.08,263.49
1529.26,1322.03,1.32,17.19,264.76
1448.58,1314.63,1.39,98.22,264.76
1388.7,1307.54,0.0,2.62,174.72
1395.67,1234.03,1.36,2.2,173.6
1402.98,1155.27,1.18,132.83,173.81
1411.63,1075.54,1.34,52.54,173.81
1417.19,1021.73,0.0,0.01,262.55
1396.86,995.24,1.36,3.93,171.12
1325.48,982.11,1.24,70.78,264.64
1246.21,974.67,1.26,150.39,264.64
1167.45,966.48,1.18,44.12,264.46
1087.79,958.76,1.33,124.15,264.46
1008.21,950.11,1.21,19.08,261.99
930.32,939.8,1.43,97.65,261.99
864.23,930.2,0.0,1.69,255.25
848.25,915.15,1.29,5.51,343.2
882.82,931.82,1.2,0.91,81.99
961.97,942.96,1.32,65.87,81.99
1040.91,953.57,1.2,171.31,84.46
1119.83,961.22,1.33,92.03,84.46
1199.75,968.97,1.18,11.73,84.46
1276.81,976.26,1.23,119.78,84.64
1355.6,983.65,1.44,40.64,84.64
1394.31,1019.62,1.39,17.57,91.07
1403.01,1083.83,1.46,87.15,353.81
1394.71,1162.44,1.19,8.12,359.72
1387.6,1240.22,1.27,35.78,353.55
1382.72,1297.52,1.29,1.27,83.54
1461.0,1306.13,1.29,69.63,84.76
1540.3,1313.39,1.43,149.26,84.76
1619.82,1321.28,1.18,16.6,83.5
1697.89,1330.17,1.43,95.17,83.65
1777.11,1334.07,1.18,44.07,84.17
1857.25,1342.61,1.22,124.42,83.47
1930.87,1361.98,0.02,4.56,85.16
1979.91,1395.37,1.35,26.42,85.28
2058.52,1401.87,1.43,105.66,85.28
2127.81,1405.31,1.29,1.86,178.39
2152.4,1336.37,1.32,60.27,174.01
2157.9,1297.74,1.21,3.78,263.9
2149.52,1376.0,1.21,20.56,354.01
2101.74,1406.72,1.44,149.32,265.28
2022.78,1400.2,1.44,69.73,265.28
1948.46,1381.46,1.41,6.53,229.56
1897.17,1348.46,1.26,164.64,263.47
1817.38,1339.47,1.34,84.57,264.17
1738.57,1334.09,1.28,5.58,271.45
1702.41,1384.88,1.22,12.89,354.93
1694.86,1463.23,1.31,55.79,354.4
1684.38,1538.2,1.19,2.89,268.39
1603.94,1534.26,1.29,17.81,270.46
1537.2,1554.96,1.42,4.27,289.59
1503.02,1601.95,1.35,1.38,334.94
1523.82,1653.01,1.47,3.87,20.6
1510.33,1710.47,1.24,29.92,291.39
1532.59,1758.31,1.39,55.86,45.95
1589.78,1814.14,1.35,1.73,46.42
1647.61,1868.16,1.19,75.84,46.7
1673.38,1883.35,1.2,0.36,83.92
1733.97,1926.22,1.43,64.82,76.95
1809.14,1942.49,1.23,4.98,352.28
1879.77,1953.94,1.26,69.72,85.84
