x,y,speed,pos,angle
1094.57,1730.08,0.00,0.26,105.86
1081.79,1656.39,1.20,12.12,195.85
1112.47,1604.12,1.24,187.49,63.68
1181.60,1638.33,1.34,110.30,63.68
1250.40,1673.26,1.25,33.07,61.71
1313.69,1716.47,1.18,27.43,50.95
1378.86,1717.24,1.36,60.13,110.08
1449.46,1698.44,1.42,1.45,46.53
1511.41,1702.49,1.32,22.62,111.39
1583.18,1676.51,1.32,15.07,110.16
1650.60,1645.62,1.28,31.49,131.79
1681.25,1586.77,1.18,13.47,177.46
1688.35,1516.48,1.16,2.32,174.40
1695.80,1439.07,1.33,18.24,174.40
1703.62,1362.98,1.33,34.44,163.65
1723.70,1294.82,1.24,35.46,174.99
1730.33,1219.08,1.36,111.49,174.99
1737.43,1143.32,1.41,61.74,174.61
1744.66,1066.86,1.28,138.54,174.51
1725.91,1022.16,1.17,12.97,263.47
1747.29,1055.79,1.35,0.04,84.44
1751.57,1102.51,1.34,43.06,354.61
1744.36,1178.87,1.25,119.75,354.61
1737.48,1254.93,1.26,35.85,354.99
1730.83,1330.72,1.16,111.94,355.01
1799.56,1341.51,1.34,106.78,84.18
1875.15,1349.81,1.28,30.74,83.47
1930.35,1389.86,1.26,126.21,2.38
1923.71,1465.20,1.16,50.44,353.49
1918.30,1537.95,1.34,3.07,271.25
1952.87,1567.21,1.38,15.43,84.56
2029.82,1574.53,1.26,92.73,84.56
2105.14,1581.46,1.21,3.86,83.18
2150.78,1592.85,1.19,56.98,83.20
2111.35,1582.84,1.14,5.28,263.18
2034.02,1575.58,1.37,97.01,264.56
1958.45,1568.38,1.18,21.10,264.56
1908.45,1587.09,1.36,23.98,351.64
1874.52,1645.23,1.41,11.10,263.29
1798.29,1636.62,1.38,87.82,263.72
1722.29,1628.25,1.33,164.28,263.72
1668.38,1643.19,1.37,8.86,289.34
1600.68,1676.90,1.14,22.33,290.16
1527.96,1702.88,1.29,10.73,291.39
1463.50,1712.72,1.32,21.47,226.19
1399.07,1710.54,1.21,38.84,290.08
1331.02,1730.53,1.37,5.06,230.95
1273.98,1705.54,1.25,120.81,337.10
1248.85,1778.58,1.41,43.65,341.57
1196.46,1828.29,1.23,31.28,303.35
1144.30,1873.13,1.27,81.73,342.10
1128.44,1947.64,1.34,5.48,348.24
1065.75,1952.33,1.18,2.79,258.47
991.35,1937.16,1.39,78.72,258.47
917.38,1920.76,1.21,154.47,78.47
993.36,1936.26,1.42,76.93,78.47
1068.49,1951.58,1.42,0.26,78.47
1128.33,1945.12,1.25,7.92,167.75
1144.58,1870.19,1.35,84.60,162.10
1198.68,1826.83,1.39,33.94,123.35
1249.78,1777.82,1.32,44.67,161.57
1274.92,1704.95,1.24,121.73,157.10
1332.03,1730.52,1.18,4.28,50.95
1399.24,1709.11,1.35,38.19,110.08
1466.58,1713.91,1.18,24.53,46.19
1532.75,1693.45,1.26,45.78,111.39
1544.81,1638.70,1.20,61.65,107.42
1619.07,1616.41,1.26,2.83,105.78
1593.31,1581.53,1.39,18.33,283.02
1613.77,1572.94,0.05,0.02,90.00
1665.21,1545.13,1.19,13.95,89.51
1722.68,1526.19,1.31,19.36,174.59
1729.12,1452.60,1.29,27.06,175.52
1735.71,1374.65,1.38,13.00,173.90
1762.87,1338.41,1.36,143.58,84.18
1840.22,1346.45,1.35,65.82,83.47
1915.67,1360.55,1.36,8.48,55.93
1946.35,1384.71,1.21,1.07,49.42
2018.15,1403.67,1.28,108.03,85.27
2094.63,1410.00,1.27,31.29,85.27
2131.39,1443.89,1.22,24.09,353.16
2125.27,1478.79,1.38,59.61,173.16
2135.02,1419.18,0.00,0.01,238.87
2061.60,1408.55,1.22,64.33,265.27
1986.37,1402.33,1.38,139.81,265.27
1931.45,1380.91,1.23,5.24,272.33
1869.28,1350.43,1.24,36.50,263.47
1792.07,1342.03,1.39,114.17,264.18
1730.20,1323.27,1.39,104.56,175.01
1736.95,1246.27,1.20,27.28,174.99
1743.89,1170.29,1.27,111.26,174.61
1751.08,1094.08,1.21,34.70,174.61
1741.10,1056.76,1.24,6.14,268.42
1693.04,1026.70,1.24,253.02,263.72
1616.96,1018.32,1.31,176.48,263.72
1541.12,1009.97,1.26,100.19,263.72
1465.30,1001.62,1.27,23.91,263.72
1430.14,960.86,1.42,1.58,262.45
1419.19,945.19,1.18,2.38,172.50
1428.49,868.24,1.20,27.07,173.72
1433.82,792.40,1.31,24.91,173.31
1406.22,743.89,1.17,30.17,263.50
1330.46,735.70,1.29,60.20,263.88
1253.96,727.71,1.41,17.12,264.35
1178.81,720.29,1.18,63.92,264.38
1143.40,722.13,1.19,2.40,174.19
1215.50,723.91,1.37,27.05,84.38
1291.37,731.51,1.22,99.52,83.88
1367.54,739.68,1.15,22.91,83.88
1438.26,754.54,1.18,63.03,353.30
1432.65,830.45,1.23,65.08,353.72
1424.06,907.52,1.40,33.45,352.98
1400.69,964.72,1.37,6.12,353.22
1333.63,970.55,1.28,98.61,264.34
1258.14,963.07,1.19,22.75,264.34
1265.83,982.15,1.29,124.21,83.99
1343.47,990.32,1.26,46.14,83.99
1395.93,1009.23,0.00,0.01,354.08
1411.02,1019.47,0.00,0.01,82.55
1413.61,1063.27,1.20,40.12,353.81
1405.23,1140.51,1.25,117.89,353.81
1398.64,1216.66,1.33,11.64,353.55
1389.99,1293.18,1.38,11.58,353.55
1383.26,1365.84,1.15,54.55,354.92
1374.93,1443.85,1.29,132.97,353.41
1378.60,1512.50,1.40,0.05,354.45
1445.00,1541.52,1.26,42.76,68.27
1504.66,1575.65,1.24,6.93,107.68
1579.36,1553.29,1.15,84.90,103.73
1621.61,1592.15,1.35,16.86,16.52
1620.29,1617.49,1.39,1.04,285.29
1546.28,1639.58,1.24,60.51,287.42
1534.83,1694.01,1.24,47.52,291.39
1466.91,1716.00,1.28,26.21,226.19
1402.82,1709.17,1.27,34.85,290.08
1341.92,1740.01,1.38,22.04,42.56
1337.98,1807.05,1.21,96.86,338.50
1309.67,1878.91,1.25,19.62,338.50
1281.52,1950.40,1.25,34.26,338.50
1253.87,2020.58,1.35,98.34,338.50
1225.48,2092.67,1.32,20.86,338.50
1196.48,2163.40,1.32,6.54,270.46
1128.50,2156.47,1.31,60.74,255.13
1117.84,2151.65,1.30,72.28,75.11
1189.34,2168.39,1.41,1.87,165.25
1220.37,2102.16,1.23,10.16,158.50
1248.45,2030.84,1.19,86.81,158.50
1276.15,1960.54,1.35,22.85,158.50
1304.25,1889.20,1.20,8.07,158.50
1332.32,1817.94,1.28,84.65,158.50
1349.97,1749.99,1.32,9.29,224.94
1390.41,1713.02,1.20,47.83,110.08
1458.25,1706.80,1.16,13.59,46.19
1523.33,1697.82,1.27,35.42,111.39
1595.02,1672.16,1.40,27.68,110.16
1663.44,1638.14,1.39,46.52,109.33
1682.58,1571.13,1.15,29.16,177.46
1690.52,1500.93,1.40,17.96,174.40
1697.91,1424.14,1.20,33.31,174.40
1711.03,1349.12,1.39,50.39,137.45
1725.88,1277.31,1.38,53.09,174.99
1732.64,1200.95,1.33,3.92,174.61
1739.92,1123.78,1.35,81.43,174.61
1736.67,1056.01,1.38,11.09,268.21
1739.59,998.30,1.19,1.16,174.56
1778.85,984.38,1.20,179.53,84.09
1855.31,992.29,1.27,102.66,84.09
1932.27,1000.26,1.30,25.29,84.09
1995.21,1016.57,1.17,18.08,83.64
2071.26,1025.05,1.20,94.61,83.64
2148.43,1033.65,1.35,172.25,83.64
2224.55,1042.13,1.26,248.84,83.64
2300.80,1050.69,1.34,325.57,83.55
2267.63,1048.23,1.19,292.34,263.55
2190.29,1039.60,1.25,214.51,263.64
2114.86,1031.19,1.28,138.62,263.64
2037.56,1022.58,1.39,60.84,263.64
1968.49,1003.13,1.25,1.83,169.71
1901.23,997.69,1.31,56.43,264.09
1824.51,989.75,1.28,133.56,264.09
1749.20,981.28,1.37,13.17,308.26
1738.13,1030.26,1.35,3.20,353.86
1749.73,1056.67,1.26,3.93,84.44
1748.36,1129.70,1.22,70.43,354.61
1741.26,1204.99,1.25,146.05,354.61
1734.67,1279.61,1.33,60.69,354.99
1735.59,1352.83,1.24,0.15,2.86
1731.14,1423.90,1.39,23.62,353.66
1722.45,1500.82,1.16,19.85,353.66
1709.02,1575.76,1.39,29.93,354.06
1697.26,1642.28,1.26,4.17,69.89
1690.09,1719.29,1.28,75.91,353.95
1681.91,1796.40,1.19,44.03,353.95
1673.78,1873.03,1.24,121.09,353.95
1715.88,1919.04,1.20,45.06,65.24
1787.93,1936.55,1.40,120.14,82.24
1854.21,1952.08,1.21,95.35,85.77
1930.18,1957.06,1.23,19.22,86.84
2006.57,1959.33,1.19,55.65,88.95
2066.43,1976.01,1.33,93.46,1.68
2068.70,2053.17,1.16,16.27,1.68
