x,y,speed,pos,angle
738.21,1870.49,1.38,2.13,39.33
807.23,1889.79,1.23,42.77,78.47
882.29,1905.10,1.30,119.37,78.47
957.57,1920.46,1.33,196.21,78.47
1033.44,1935.94,1.35,273.64,78.47
1109.42,1951.35,1.38,34.80,78.61
1137.90,1896.18,1.15,57.82,169.55
1177.60,1840.71,1.27,8.70,123.35
1234.96,1794.41,1.19,20.82,117.31
1266.49,1727.67,1.29,97.53,161.57
1314.41,1716.23,1.39,27.02,50.95
1379.05,1716.49,1.34,59.69,110.08
1450.65,1698.69,1.37,2.49,46.53
1510.49,1709.04,1.33,29.25,111.39
1582.38,1682.93,1.24,41.59,110.16
1652.27,1652.72,1.16,28.08,131.81
1703.32,1628.12,1.24,8.30,165.87
1721.29,1599.12,1.31,10.49,284.83
1688.57,1641.17,1.23,0.53,263.74
1620.19,1669.73,1.24,1.55,290.16
1546.85,1695.90,1.21,13.98,288.27
1478.80,1720.50,1.33,9.09,225.85
1415.73,1704.45,1.27,21.11,290.08
1344.70,1730.46,1.26,2.09,318.50
1284.27,1694.80,1.19,2.53,256.67
1254.14,1762.72,1.31,60.37,341.57
1209.83,1819.11,1.39,47.84,328.56
1149.32,1857.62,1.28,98.03,342.10
1131.68,1932.71,1.33,20.76,347.75
1073.28,1945.08,1.29,3.14,258.66
997.44,1929.25,1.25,237.02,258.47
921.54,1913.76,1.31,159.56,258.47
845.92,1898.34,1.34,82.38,258.47
769.43,1882.73,1.23,4.31,258.47
763.67,1816.85,1.23,1.89,279.24
767.20,1847.46,1.18,29.03,353.67
806.23,1889.59,1.32,41.74,78.47
881.31,1904.90,1.29,118.37,78.47
956.84,1920.31,1.31,195.46,78.47
1033.65,1935.99,1.36,273.86,78.47
1109.87,1951.44,1.27,35.26,78.61
1137.82,1896.64,1.37,57.35,169.55
1176.43,1841.47,1.38,7.30,123.35
1233.42,1795.20,1.30,19.09,117.31
1265.81,1729.71,1.17,95.37,161.57
1312.09,1714.35,1.25,30.01,50.95
1375.52,1717.78,1.42,63.45,110.08
1446.37,1696.03,1.17,2.34,89.33
1504.99,1743.19,1.42,108.55,45.95
1560.89,1797.27,1.34,30.77,45.95
1616.22,1838.57,1.14,32.71,46.70
1664.65,1882.40,0.00,2.33,83.81
1691.24,1905.13,1.43,16.35,53.22
1762.00,1932.73,1.43,93.74,76.91
1812.89,1910.98,1.31,26.18,173.31
1821.76,1834.12,1.24,15.35,172.61
1843.55,1759.90,1.21,74.23,158.90
1832.88,1791.31,1.29,41.06,343.91
1818.70,1866.62,1.40,70.92,353.26
1809.73,1942.85,1.15,4.71,352.28
1878.03,1953.18,1.24,71.52,85.84
1955.06,1957.35,1.32,4.12,88.09
