x,y,speed,pos,angle
1382.56,740.00,1.31,7.94,83.88
1436.91,777.05,1.47,40.52,353.31
1430.47,861.90,1.37,33.58,353.72
1414.98,943.35,1.50,27.60,264.32
1395.53,1013.03,1.48,5.79,354.08
1403.31,1081.05,1.44,89.95,353.81
1394.69,1166.28,1.39,4.28,359.72
1386.36,1251.15,1.27,24.78,353.55
1378.22,1328.51,1.48,175.77,354.93
1369.95,1414.41,1.39,89.48,353.42
1360.20,1498.92,1.36,4.39,353.42
1346.79,1583.25,1.58,4.62,259.44
1395.46,1638.50,1.31,113.77,47.82
1456.97,1697.34,1.54,28.65,46.16
1518.03,1755.81,1.49,90.40,45.95
1579.53,1815.30,1.52,4.83,45.95
1641.39,1873.73,1.38,19.71,46.70
1667.98,1900.62,0.00,0.01,84.08
1731.74,1934.24,1.36,75.25,76.88
1815.43,1948.10,1.41,5.55,84.03
1901.47,1954.83,1.30,48.00,86.84
1987.64,1958.34,1.53,74.57,88.95
2066.64,1966.42,1.58,2.98,2.38
2069.29,2051.38,1.34,18.05,1.68
2027.49,2077.03,1.43,239.66,266.11
1942.76,2069.83,1.45,154.63,261.80
1858.73,2057.72,1.27,69.73,261.80
1738.97,2040.42,1.29,8.41,83.03
1817.30,2050.45,1.54,27.69,81.78
1901.57,2062.60,1.31,112.83,81.80
1986.20,2072.94,1.32,198.18,86.11
2067.06,2087.43,1.40,12.55,99.77
2066.66,2005.62,1.38,63.86,181.68
2026.80,1959.48,1.35,35.45,273.24
1942.56,1958.38,1.33,6.78,266.84
1856.89,1952.92,1.31,92.61,265.77
1782.01,1937.04,1.35,114.31,262.25
1701.43,1913.79,1.53,29.67,245.24
1670.08,1882.19,1.29,1.75,84.09
1612.90,1837.21,1.29,29.35,226.70
1550.77,1777.69,1.31,82.40,225.95
1490.39,1718.05,1.33,2.65,175.35
1528.32,1668.60,1.37,1.57,201.16
1520.13,1599.40,1.50,16.38,109.48
1493.20,1570.92,1.42,1.62,178.99
1419.49,1532.04,1.54,69.97,248.27
1351.89,1510.57,1.56,3.66,264.56
1338.62,1473.18,1.47,63.99,355.30
1379.63,1508.84,1.32,3.07,83.95
1464.31,1517.88,1.41,1.61,83.34
1548.52,1527.37,1.30,1.00,85.50
1633.65,1533.70,1.53,29.49,85.73
1689.91,1507.14,1.51,11.74,174.40
1698.08,1422.43,1.51,35.03,174.40
1715.73,1341.05,1.42,3.48,173.72
1726.78,1259.66,1.40,70.75,174.99
1734.40,1175.41,1.41,29.51,174.61
1742.53,1089.30,1.45,116.01,174.61
1737.50,1030.13,1.48,3.26,173.86
1803.23,1039.56,1.37,133.33,84.09
1888.46,1048.38,1.49,47.64,84.09
1910.88,1051.99,1.56,24.97,264.09
1826.12,1043.21,1.39,110.19,264.09
1755.01,1026.27,1.45,4.80,264.44
1680.57,1025.32,1.56,240.47,263.72
1594.50,1015.85,1.52,153.88,263.72
1510.62,1006.61,1.56,69.50,263.72
1430.52,991.97,1.42,6.66,265.88
1412.09,989.18,1.48,0.22,262.41
1410.26,1020.71,1.57,1.71,352.55
1400.03,1105.32,1.32,65.49,353.81
1392.61,1190.24,1.41,8.93,353.59
1362.89,1256.54,1.35,16.84,354.62
1390.57,1299.98,1.27,3.05,56.73
1475.70,1307.47,1.58,84.38,84.76
1559.82,1315.58,1.27,2.95,84.63
1643.89,1324.03,1.53,40.83,83.50
1728.15,1332.57,1.31,6.13,84.98
1733.17,1405.66,1.52,5.27,353.66
1723.68,1489.75,1.54,8.76,353.66
1742.94,1548.91,1.48,9.47,84.79
1828.72,1556.73,1.52,95.60,84.79
1911.13,1567.27,1.35,4.19,1.44
1941.17,1618.94,1.46,20.22,83.28
2025.47,1628.87,1.40,105.10,83.28
2095.68,1651.81,1.28,20.84,353.06
2094.11,1654.11,1.36,18.37,173.06
2027.29,1630.38,1.34,107.08,263.28
1942.63,1620.40,1.31,21.84,263.28
