x,y,speed,pos,angle
1676.24,1620.58,0.00,1.25,193.65
1740.77,1600.05,1.23,9.70,102.64
1707.46,1610.62,1.28,5.70,352.01
1673.05,1641.55,1.17,3.92,289.34
1610.91,1673.14,1.09,11.43,290.16
1542.80,1697.24,1.23,18.24,288.27
1480.42,1722.08,1.30,6.83,225.85
1424.33,1701.31,1.31,11.95,290.08
1357.32,1725.80,1.08,83.29,290.08
1300.02,1706.21,1.27,44.54,230.95
1262.45,1737.78,1.20,86.66,341.57
1230.28,1796.10,1.29,15.88,297.31
1178.20,1840.31,1.31,9.42,303.35
1203.51,1823.65,1.24,39.72,123.35
1250.44,1775.86,1.13,46.74,161.57
1273.30,1708.78,1.22,117.57,157.10
1235.10,1665.75,1.16,50.12,241.71
1171.45,1634.02,1.06,121.32,243.68
1108.34,1602.39,1.27,1.11,243.68
1044.47,1571.19,1.08,62.79,243.67
980.39,1540.89,1.29,7.16,249.86
909.62,1534.35,1.27,8.62,268.74
838.61,1532.79,1.25,79.65,268.74
804.60,1496.91,1.07,120.03,173.51
812.55,1426.65,1.15,49.33,173.56
820.39,1355.50,1.26,90.95,173.89
828.12,1285.23,1.31,20.25,173.52
834.86,1231.72,1.08,19.59,353.50
894.97,1248.55,1.18,59.24,83.73
964.85,1256.22,1.09,129.53,83.73
1035.23,1263.96,1.14,2.98,83.73
1104.40,1271.56,1.26,72.57,83.73
1174.79,1279.28,1.27,143.37,83.73
1242.34,1283.49,1.20,53.19,83.72
1312.96,1291.25,1.26,19.56,83.72
1381.38,1298.01,0.00,4.30,83.54
1446.10,1304.76,1.22,54.66,84.76
1516.99,1311.26,1.16,125.85,84.76
1566.02,1324.16,1.10,27.75,84.59
1636.45,1331.55,1.15,77.44,83.49
1706.67,1339.51,1.08,6.78,83.70
1700.82,1401.04,1.11,56.58,354.40
1693.96,1472.37,1.24,46.63,354.40
1684.50,1538.96,1.28,2.41,358.03
1681.48,1610.17,1.24,8.84,357.44
1625.32,1616.13,1.24,3.27,284.99
1557.01,1636.22,1.14,49.27,287.42
1495.54,1643.41,1.12,5.19,203.04
1521.59,1647.11,1.31,2.13,20.83
1514.95,1701.79,1.28,26.17,291.39
1455.46,1705.02,1.11,10.34,226.53
1392.81,1712.83,1.21,45.51,290.08
1329.43,1730.06,1.06,6.60,230.95
1272.35,1687.10,1.29,7.07,237.00
1209.74,1652.96,1.09,78.56,243.68
1145.57,1621.21,1.27,150.22,243.68
1080.86,1589.19,1.21,22.20,243.67
1080.30,1587.49,1.30,23.46,63.67
1144.15,1619.09,1.09,152.43,63.68
1208.01,1650.68,1.07,81.13,63.68
1270.20,1684.18,1.08,10.46,57.00
1326.19,1725.78,1.26,11.81,50.95
1386.89,1713.63,1.26,51.35,110.08
1451.50,1699.50,1.20,3.66,46.53
1508.42,1702.97,1.11,19.65,111.39
1522.97,1654.39,1.09,2.88,200.60
1582.44,1626.90,1.19,22.21,107.42
1619.75,1590.37,1.24,14.63,196.52
1635.95,1612.23,1.05,5.82,103.25
1679.57,1626.15,1.14,9.19,340.32
1685.90,1679.87,1.07,66.92,353.95
1678.18,1751.38,1.08,0.35,353.95
1670.88,1821.55,1.11,59.40,353.95
1664.79,1881.61,0.02,0.04,83.81
1688.84,1903.34,1.06,13.35,53.22
1754.14,1930.90,1.22,85.63,76.91
1813.60,1949.03,1.11,7.26,89.22
1884.82,1954.31,1.26,64.66,85.84
1955.57,1958.01,1.22,3.58,88.09
2026.53,1958.85,1.17,35.68,93.24
2066.86,1990.53,1.20,78.93,1.68
2068.96,2061.90,1.17,7.54,1.68
2090.47,2117.80,1.10,31.24,19.53
2114.34,2185.50,1.25,18.78,19.18
2153.71,2225.73,1.23,23.59,96.66
2197.04,2261.85,1.13,38.48,17.35
2207.92,2294.53,1.08,72.90,197.35
2186.58,2227.66,1.20,2.77,200.11
2127.19,2216.23,1.23,5.10,237.98
2102.22,2150.89,1.30,5.07,199.50
2081.18,2084.73,1.09,9.89,190.65
2067.89,2025.63,1.09,43.82,181.68
2061.36,1957.54,1.09,0.87,272.93
1990.37,1959.67,1.27,71.83,268.95
1919.83,1957.13,1.21,29.55,266.84
1849.03,1952.34,1.10,100.49,265.77
1787.59,1937.80,1.20,119.97,262.24
1719.39,1922.07,1.29,49.54,245.24
1672.92,1884.59,0.00,0.04,263.92
1642.12,1864.74,1.19,69.51,226.70
1590.48,1816.58,1.12,3.91,226.70
1539.92,1767.19,1.23,67.31,225.95
1491.73,1715.26,1.23,0.36,111.39
1532.34,1678.92,1.06,11.80,201.31
1507.40,1612.88,1.29,4.89,200.61
1476.44,1554.75,1.19,8.66,248.27
1456.14,1545.97,1.14,30.77,68.27
1501.34,1593.11,1.18,6.17,20.52
1526.14,1659.19,1.28,2.27,20.59
1525.04,1697.84,1.21,37.00,291.39
1463.52,1712.75,1.22,21.51,226.19
1403.95,1708.76,1.07,33.65,290.08
1338.91,1735.91,1.25,6.16,312.59
1342.95,1794.45,1.15,110.40,338.50
1317.01,1860.30,1.18,39.62,338.50
1291.20,1925.83,1.09,60.67,338.50
1265.02,1990.58,1.29,0.65,348.46
1239.57,2056.88,1.24,59.32,338.50
1213.63,2122.75,1.31,40.94,338.49
1168.98,2157.95,1.15,70.44,254.83
1099.98,2139.48,1.19,8.40,255.11
1036.78,2132.23,1.12,39.99,255.25
991.38,2120.28,1.08,9.11,255.25
922.46,2102.13,1.13,33.73,255.25
854.01,2084.11,1.20,25.87,255.24
786.13,2065.79,1.12,59.98,254.86
717.50,2048.72,1.26,14.23,248.24
723.50,1996.53,1.16,38.48,174.14
730.67,1926.43,1.10,44.48,174.17
737.95,1855.08,1.29,14.18,174.17
745.58,1789.64,1.07,12.44,173.07
759.44,1720.28,1.20,15.53,175.33
765.27,1648.90,1.26,87.14,175.33
771.15,1576.89,1.21,159.39,175.33
776.88,1506.79,1.11,229.72,175.33
784.01,1435.14,1.27,44.38,173.30
784.94,1371.19,1.15,4.74,264.48
714.43,1372.01,1.29,75.42,273.13
669.44,1376.93,1.19,120.73,98.95
740.49,1369.30,1.30,49.25,93.13
809.33,1373.97,1.06,0.22,81.55
812.02,1436.99,1.17,59.66,353.56
804.06,1507.33,1.08,130.45,353.51
849.40,1531.75,1.23,68.88,88.74
920.15,1532.94,1.26,7.55,88.74
990.05,1542.72,1.12,6.97,66.65
1053.48,1574.21,1.07,53.38,63.67
1117.18,1605.74,1.17,182.54,63.68
1180.46,1637.05,1.30,111.89,63.68
1242.90,1668.49,1.07,41.95,61.71
1302.23,1706.35,1.08,42.73,50.95
1356.82,1724.62,1.16,83.36,110.08
