x,y,speed,pos,angle
1622.24,1594.25,1.57,19.06,16.52
1681.32,1613.79,1.45,5.21,357.44
1685.66,1682.10,1.32,64.68,353.95
1676.48,1768.72,1.47,112.53,353.95
1667.36,1854.71,1.55,26.05,353.95
1692.53,1906.09,1.40,17.98,53.22
1773.79,1934.63,1.45,105.80,82.25
1815.77,1897.45,1.36,39.95,353.33
1766.22,1934.89,1.47,98.30,262.25
1687.03,1903.58,1.45,12.04,233.22
1661.36,1883.09,1.50,0.93,245.52
1598.25,1823.40,1.56,9.23,226.70
1535.93,1774.91,1.50,64.25,225.95
1474.15,1714.47,1.38,4.39,226.93
1411.22,1654.29,1.57,91.49,226.16
1350.01,1594.75,1.31,3.08,225.39
1275.32,1551.91,1.38,52.41,242.25
1198.51,1514.91,1.36,16.91,244.48
1121.11,1475.60,1.44,103.73,242.36
1044.71,1438.92,1.51,188.48,245.51
964.00,1406.99,1.35,40.47,251.20
880.01,1383.54,1.58,127.80,257.59
810.99,1358.16,1.40,5.90,263.63
801.77,1288.44,1.43,66.47,173.46
808.62,1234.32,1.34,22.62,353.46
798.72,1320.66,1.58,34.11,353.46
835.25,1371.38,1.53,13.80,82.96
919.68,1386.38,1.45,99.46,77.58
1001.27,1413.62,1.36,185.31,70.84
1078.44,1448.20,1.52,71.05,63.85
1155.40,1487.05,1.38,157.24,62.35
1219.70,1502.30,1.41,51.46,173.89
1302.88,1504.42,1.49,25.45,86.20
1378.45,1512.54,0.47,0.02,357.14
1454.20,1545.19,1.39,32.86,68.27
1506.06,1605.86,1.55,1.68,20.26
1560.28,1633.85,1.30,45.44,107.42
1624.42,1634.01,0.82,0.15,78.11
1677.37,1602.91,1.34,0.82,98.83
1687.91,1527.00,1.30,12.31,177.82
1695.63,1439.34,1.33,17.96,174.91
1700.20,1387.98,1.49,9.66,174.93
1678.94,1337.69,1.48,34.54,263.49
1593.32,1328.03,1.51,0.21,264.59
1507.48,1320.03,1.49,39.06,264.76
1422.59,1312.25,1.29,124.31,264.76
1353.87,1305.41,1.37,22.54,263.72
1268.88,1296.07,1.47,4.86,263.72
1182.48,1287.93,1.57,6.29,287.67
1095.84,1280.27,1.50,81.56,263.73
1020.17,1262.95,1.35,185.26,263.73
933.91,1253.47,1.42,98.48,263.73
848.16,1244.05,1.40,12.21,263.54
831.29,1208.72,0.01,0.00,264.62
808.15,1232.83,1.43,24.05,353.46
798.34,1318.35,1.53,36.36,353.46
825.26,1375.95,1.45,183.10,82.96
910.95,1390.35,1.58,96.12,77.59
992.97,1416.85,1.52,9.87,71.20
1071.67,1451.30,1.43,158.81,63.84
1148.92,1490.15,1.53,72.34,62.36
1226.49,1528.26,1.31,42.07,64.47
1303.91,1566.95,1.57,20.10,62.25
1372.34,1616.53,1.30,10.80,45.18
1435.08,1676.31,1.31,59.01,46.16
1496.91,1713.66,1.30,43.57,111.39
1578.46,1683.69,1.35,45.53,110.16
