x,y,speed,pos,angle
1503.48,1670.52,1.20,0.94,110.11
1511.01,1622.52,1.11,8.26,200.59
1479.53,1575.89,1.11,12.07,291.14
1417.36,1608.13,1.27,82.48,300.35
1365.45,1611.49,1.26,19.24,225.18
1308.94,1570.32,1.09,14.08,242.25
1246.69,1538.62,1.23,19.37,244.47
1183.00,1508.21,1.12,33.79,244.48
1120.81,1476.16,1.26,103.73,242.36
1058.60,1445.95,1.18,172.93,245.51
994.98,1418.21,1.27,7.53,251.20
927.56,1395.26,1.08,78.74,251.20
860.06,1380.89,1.24,147.96,262.96
793.06,1372.85,1.13,2.39,308.80
784.64,1440.76,1.13,38.87,353.30
777.40,1492.94,1.22,4.02,174.57
785.37,1423.57,1.13,56.03,173.30
793.51,1354.85,1.14,4.55,173.46
801.54,1284.83,1.27,70.03,173.46
810.21,1215.30,1.23,0.06,173.81
817.74,1145.63,1.06,58.86,173.77
825.41,1075.33,1.22,129.58,173.77
832.93,1006.45,1.07,198.87,173.77
834.79,957.42,1.06,21.74,231.67
850.29,905.70,0.00,1.60,174.44
879.53,855.11,1.11,31.75,162.12
901.15,788.10,1.04,102.16,162.12
922.62,721.53,1.22,172.11,162.12
897.05,678.11,1.29,34.25,252.21
829.37,656.42,1.27,105.32,252.24
865.58,652.57,1.18,42.55,72.23
826.77,640.80,1.25,1.99,252.23
867.31,667.91,1.11,65.69,72.24
932.86,690.99,1.28,1.54,33.32
911.50,758.11,1.20,133.88,342.12
890.11,824.40,1.18,64.22,342.12
869.18,889.99,1.13,2.99,341.30
843.22,931.85,1.30,3.94,343.19
849.58,969.39,0.00,0.00,83.09
860.89,1002.74,1.24,28.90,353.51
852.96,1072.51,1.28,99.13,353.51
845.07,1141.94,1.25,169.00,353.51
837.26,1210.54,1.13,3.27,353.39
829.33,1280.25,1.08,15.16,353.52
821.63,1349.94,1.05,85.29,353.89
868.30,1375.46,1.12,47.05,82.96
936.41,1391.52,1.15,116.89,71.20
1003.52,1414.40,1.05,187.69,70.84
1066.80,1442.65,1.26,58.17,65.51
1129.55,1473.51,1.21,128.06,62.35
1191.82,1505.33,1.17,198.02,64.49
1243.22,1500.45,1.15,26.15,86.19
1312.77,1505.07,1.19,15.54,86.20
1378.61,1508.74,1.16,2.05,83.95
1447.71,1516.01,1.22,0.57,83.68
1517.96,1524.14,1.08,55.63,83.34
1588.87,1532.62,1.07,2.76,85.60
1659.10,1535.60,1.21,54.98,85.73
1690.94,1496.61,1.22,22.28,174.40
1697.68,1426.44,1.09,31.00,174.40
1706.59,1355.15,1.09,42.65,163.65
1760.66,1333.04,1.15,27.64,84.17
1830.91,1340.24,1.12,98.07,83.47
1901.28,1348.81,1.08,168.80,75.41
1942.79,1373.95,0.00,16.80,326.46
2000.43,1397.71,1.05,47.15,85.28
2069.82,1403.44,1.21,117.09,85.28
2128.31,1410.41,0.00,5.37,178.39
2185.64,1406.32,1.11,34.55,83.45
2199.61,1408.57,1.06,48.69,263.45
2137.87,1400.96,1.13,12.63,298.80
2082.57,1405.14,1.13,130.00,265.28
2012.85,1399.38,1.05,59.73,265.28
1947.30,1380.48,1.24,5.02,229.56
1919.05,1357.43,1.12,10.66,235.96
1851.09,1343.19,1.27,118.39,263.47
1781.04,1335.76,1.17,48.14,264.17
1711.02,1332.91,1.24,108.52,263.70
