8,12,13,15,9,14,11,13,13,10,10,9,13,13,13
11,10,11,12,8,12,13,14,8,12,5,10,16,11,11
9,9,12,13,5,15,13,11,14,10,7,11,14,13,8
10,12,10,11,5,14,17,12,13,13,8,11,14,14,8
9,12,14,15,10,16,14,9,16,13,9,12,13,14,6
12,11,9,13,9,12,16,9,15,15,7,13,16,15,5
11,10,10,13,9,12,17,9,17,13,10,11,16,13,6
10,11,11,13,7,13,16,8,15,12,8,13,15,15,6
12,10,9,13,8,12,16,9,16,13,13,14,14,14,5
11,11,11,13,8,13,17,7,15,13,11,13,16,16,6
11,9,10,14,8,13,17,7,16,16,9,12,15,14,5
12,9,9,12,9,14,16,8,16,13,11,16,15,15,5
12,11,10,12,8,14,16,5,18,14,11,14,15,16,7
11,9,10,12,9,12,18,8,16,13,11,12,13,16,6
10,12,8,11,7,14,18,6,15,13,11,13,14,16,5
11,10,8,12,8,14,16,4,17,14,13,13,16,17,5
11,11,10,13,8,13,18,5,17,13,12,14,15,17,7
11,12,9,13,7,14,16,5,17,13,12,16,16,17,7
11,11,8,12,7,13,17,7,17,15,12,14,16,18,6
12,11,8,13,8,12,17,5,16,13,11,13,15,18,6
10,12,8,11,7,13,17,7,17,14,11,15,14,16,5
12,13,8,13,6,12,18,6,18,14,11,14,17,18,5
13,12,8,14,6,13,18,5,19,13,11,13,15,17,4
13,12,9,11,6,12,18,6,17,14,11,12,17,17,6
11,12,7,12,8,13,18,5,18,13,10,13,16,18,4
11,12,8,12,6,11,18,5,17,13,11,14,16,16,6
12,13,8,14,6,12,17,6,17,14,11,15,17,16,5
12,12,8,13,6,12,16,6,16,14,12,14,16,17,7
11,13,8,11,7,12,16,7,17,15,12,15,16,16,6
12,13,8,13,6,10,18,5,16,13,10,14,16,16,7
10,13,6,13,7,11,16,6,18,15,12,15,15,16,6
11,12,8,12,6,12,17,6,18,13,12,13,16,16,5
12,13,8,14,6,13,17,5,18,13,11,14,16,18,7
12,11,9,14,8,11,17,6,16,13,10,12,16,17,7
11,13,8,12,6,12,18,6,17,12,11,12,16,18,6
11,11,8,14,7,12,18,7,17,13,11,12,16,15,5
11,13,7,13,7,12,17,6,17,14,11,11,17,16,5
13,12,8,12,5,13,16,6,17,13,14,13,17,17,5
12,12,8,12,6,13,17,6,17,13,12,13,16,20,6
12,11,7,12,5,12,16,8,17,11,11,13,17,19,6
12,11,9,10,6,11,17,7,17,13,12,11,16,16,5
12,12,6,11,6,11,16,7,17,13,13,11,16,16,6
13,13,8,12,6,12,16,6,16,13,12,12,16,17,5
12,14,8,12,8,12,15,6,17,14,11,13,16,16,6
10,14,8,12,6,12,18,5,16,13,10,12,16,16,5
14,12,8,11,5,13,17,6,16,14,12,11,18,16,6
11,11,7,11,6,13,17,7,15,13,13,12,18,16,7
10,12,8,12,5,13,16,7,17,12,12,14,18,17,6
12,12,8,11,5,12,17,7,16,11,11,12,16,16,6
12,11,7,11,7,12,17,6,18,14,13,13,16,17,5
13,11,8,11,6,12,19,6,16,12,12,13,17,18,6
12,12,8,12,5,12,18,6,18,13,10,12,16,15,6
13,12,8,11,4,13,18,5,17,12,12,12,18,17,5
10,12,7,12,6,11,18,5,17,14,10,11,17,18,6
13,12,7,14,5,13,19,8,18,15,11,11,19,16,7
11,13,9,11,8,12,17,7,19,12,11,12,15,17,6
13,13,7,13,6,11,16,4,16,11,11,13,16,18,6
13,14,8,12,7,11,16,6,16,13,11,12,16,17,7
14,13,9,10,6,13,18,5,16,12,13,11,18,16,7
13,12,6,12,5,12,17,7,17,12,12,11,16,18,5
12,12,7,11,7,11,18,6,18,12,12,12,17,19,5
12,12,5,11,8,11,18,5,16,11,12,15,16,18,7
12,12,7,11,4,10,17,6,15,13,12,12,16,18,5
10,12,7,11,8,11,18,6,16,11,13,12,16,17,6
10,11,6,11,6,12,18,6,18,13,12,11,18,19,7
10,14,9,11,6,14,16,6,18,11,13,13,17,18,7
