14,11,9,13,17,8,14,10,12,8,13,8,9,14,6
16,10,13,15,16,5,13,15,14,12,13,10,10,10,7
13,9,8,15,18,6,14,14,14,11,12,7,11,12,9
13,11,5,14,19,8,15,12,13,10,12,10,10,11,7
13,10,8,14,18,6,15,15,14,9,13,10,12,12,10
13,10,8,13,19,6,14,13,15,10,12,11,10,13,6
12,10,7,15,19,6,15,13,13,10,15,9,11,12,9
13,10,7,14,19,5,16,14,12,10,14,9,10,11,8
12,8,10,14,19,6,15,14,13,7,13,9,11,13,9
12,10,8,15,18,6,15,14,11,8,12,11,11,13,8
13,9,6,15,19,7,15,14,14,10,14,9,11,13,8
13,10,8,14,18,6,14,12,12,9,12,8,12,11,9
14,10,10,15,18,6,16,13,12,9,12,8,12,13,7
13,10,9,14,21,6,14,12,12,9,12,8,13,11,9
13,11,6,14,19,7,15,14,11,10,14,11,15,11,9
14,11,6,15,20,7,15,13,12,10,14,8,14,11,7
13,8,5,12,21,6,14,15,13,9,13,10,13,13,9
14,10,5,15,20,8,16,12,13,9,13,12,12,14,9
12,11,8,15,20,6,16,14,13,11,16,10,11,11,9
12,10,6,14,19,7,15,13,11,10,13,12,14,10,8
15,10,7,12,19,6,15,15,13,7,12,10,12,14,8
